Id,Name,Address,City,State,ZIP,Phone,Type
593988946905,HUMANITAS IN-HOME HEALTHCARE OF RIVERDALE NURSE PRACTITIONER IN FAMIL,5683 RIVERDALE AVE,BRONX,NY,104711820,3476074319,12-70
859769310451,ST. JOSEPH'S HOSPITAL YONKERS,127 SOUTH BROADWAY,YONKERS,NY,107014080,9143787000,00-09
879280369383,PUTNAM HOSPITAL CENTER,670 STONELEIGH AVENUE,YORKTOWN HEIGHTS,NY,105981832,9142795711,00-09
780175599638,BRIARCLIFF FAMILY PODIATRY  PLLC,131 ORCHARD ROAD,BRIARCLIFF MANOR,NY,105101026,9148822326,12-70
451888273059,NORTHERN WESTCHESTER HOSPITAL,400 E MAIN ST,YORKTOWN HEIGHTS,NY,105984447,9146661200,00-09
609394421542,AHRC HEALTH CARE INC,83 MAIDEN LN,NEW YORK,NY,100384812,2127802500,00-04
695402214585,BETH ISRAEL MEDICAL CENTER,FIRST AVENUE AND 16TH STREET,NEW YORK,NY,100351641,2124202000,00-09
237691555322,CALLEN LORDE COMM HEALTH CENTER,230 WEST 17TH STREET,NEW YORK,NY,100115325,2122717206,00-04
845787617219,MOUNT SINAI HOSPITAL,1 GUSTAVE L LEVY PL,NEW YORK,NY,100296500,2122562904,00-09
659448781049,NEW YORK DOCTORS URGENT CARE PLLC,65 W 13TH ST,NEW YORK,NY,100117908,8455653700,12-70
549590898746,NYS OFFICE OF MENTAL HEALTH,7403 COMMONWEALTH BLVD,BELLEROSE,NY,114261839,7186922543,00-09
644839123423,GLEN OAKS INTERNAL MEDICINE PC,26004 80TH AVE,GLEN OAKS,NY,110041502,7183477090,12-70
712705830986,ST MARY'S HOME CARE,5 DAKOTA DRIVE   SUITE 200,NEW HYDE PARK,NY,110421109,5164719300,00-06
320834212803,ADULT AND GERIATRICS MEDICAL CARE PC,2195 E 22ND ST,BROOKLYN,NY,112241913,9176095537,12-70
746370622358,NEW YORK COMMUNITY HOSPITAL OF BROOKLYN INC,2525 KINGS HWY,BROOKLYN,NY,112291705,7186925385,00-09
123453579915,NEW YORK COMMUNITY HOSPITAL OF BROOKLYN INC,2525 KINGS HWY,BROOKLYN,NY,112291705,7186925335,12-Z1
609915331372,PERSONAL TOUCH HOME AIDES OF NEW YORK INC,3632 NOSTRAND AVENUE   4TH FLOOR,BROOKLYN,NY,112295308,7183756111,00-06
485375387315,CNH OPERATING LLC,3457 NOSTRAND AVE,BROOKLYN,NY,112295131,7186151100,00-18
216242758865,NEWYORK-PRESBYTERIAN-QUEENS,56-45 MAIN STREET,JAMAICA,NY,114353109,7186701231,00-09
257896631449,SMART MEDICAL CARE PC,8746 168TH ST,JAMAICA,NY,114323628,7185266660,12-70
597793863433,METRO URGENT MEDICAL CARE OF QUEENS,14-140 JFK TENANT 4,JAMAICA,NY,11430,8455653700,12-70
623773990400,HAMPTON HEALTH FAMILY NP PLLC,695 DUTCHESS TPKE STE 1,POUGHKEEPSIE,NY,126036443,8454734537,12-70
818939874811,VASSAR BROTHERS MEDICAL CENTER,45 READE PL,POUGHKEEPSIE,NY,126014723,8454548500,00-09
540522208363,THE PINES AT POUGHKEEPSIE CTR FOR NURSING & REHAB,100 FRANKLIN STREET,POUGHKEEPSIE,NY,126014341,8454544100,00-18
423656410727,BROOKHAVEN HEALTH CARE FACILITY LLC,801 GAZZOLA DR,EAST PATCHOGUE,NY,117724900,6314478800,12-70
922659179520,BROOKS - TLC HOSPITAL SYSTEM  INC.,529 CENTRAL AVE,IRVING,NY,140819705,7163637215,00-09
229503577735,TRI-COUNTY FAMILY MEDICINE ASSO PC,1 SCHOOL ST,GOWANDA,NY,140701143,7162417067,12-70
884710702273,FIVE STAR URGENT CARE JAMESTOWN MEDICAL PLLC,15 S MAIN ST,JAMESTOWN,NY,147016626,7164893144,12-70
785066109380,BROOKS-TLC HOSPITAL SYSTEM HOME HEALTH CARE-CLOSED,12644 SENECA ROAD,IRVING,NY,140819714,7169517167,00-06
510967251347,CHAUTAUQUA HOSPICE AND PALLIATIVE CARE,20 WEST FAIRMOUNT AVENUE,LAKEWOOD,NY,147501702,7163380033,00-08
900674632338,FLUSHING HOSPITAL & MEDICAL CENTER,4500 PARSONS BLVD,FLUSHING,NY,113552205,7186705000,00-09
954761505024,GOOD HEALTH MEDICAL CARE PLLC,4370 KISSENA BLVD,NEW YORK,NY,100034001,7182165767,12-70
349896190828,FOREST VIEW CENTER FOR REHABILITATION & NURSING,71 20 110TH STREET,FOREST HILLS,NY,113754844,7187933200,00-18
314059386240,FLUSHING HOSPITAL & MEDICAL CENTER,4500 PARSONS BLVD,FLUSHING,NY,113552205,7186705000,00-09
893232371375,NY MEDS URGENT CARE PLLC,3516A FRANCIS LEWIS BLVD,FLUSHING,NY,113581954,7166337600,12-70
812673209285,QUEENS FAMILY MEDICINE  PLLC,5834 MAIN ST,FRESH MEADOWS,NY,113654123,7183580506,12-70
842214365713,MANHATTAN PSYCHIATRIC CENTER,WARDS ISLAND,NEW YORK,NY,100356000,2123690500,00-09
288542241024,DAMIAN FAMILY CARE CENTERS  INC.,13 HELL GATE CIR,NEW YORK,NY,100356602,7186571100,00-04
819845238927,HENRY J CARTER SKILLED NURSING FACILITY,1752 PARK AVE,NEW YORK,NY,100352811,6466860000,00-18
551762330365,PROJECT RENEWAL INC,225 E 45TH ST,NEW YORK,NY,100173301,2126618934,00-04
844306745510,NYU LANGONE HOSPITALS,550 1ST AVE,NEW YORK,NY,100166402,2122631481,00-09
348361390084,HOSPICE OF NEW YORK  LLC,4518 COURT SQ STE 500,LONG ISLAND CITY,NY,111013433,7184721999,00-08
298900584221,MEMORIAL URGENT CARE GROUP,1275 YORK AVE,NEW YORK,NY,100656007,6462273813,12-70
527994285283,LITE STEP PODIATRY WELLNESS PC,6302 ROUTE 25A,WADING RIVER,NY,117922026,6317078771,12-70
838133954710,PECONIC BAY MEDICAL CENTER,1 HEROS WAY,RIVERHEAD,NY,119012054,6315486000,00-09
452952984043,COMMUNITY HEALTH INITIATIVES INC,2882 W 15TH ST,BROOKLYN,NY,112242770,7182103110,00-04
139527181157,CONEY ISLAND HOSPITAL CENTER,2601 OCEAN PARKWAY,BROOKLYN,NY,112357745,7186163000,00-09
183362908716,RAPHA FAMILY MEDICINE PC,2200 MAIN ST,BUFFALO,NY,142142449,7162004122,12-70
241598747993,KALEIDA HEALTH,100 HIGH ST,BUFFALO,NY,142031126,7168598396,00-09
746506891162,SOUTH BROOKLYN MEDICAL CARE PC,2705 MERMAID AVE,BROOKLYN,NY,112242005,7182652222,12-70
928805704328,SOUTH BEACH PSYCHIATRIC CENTER,777 SEAVIEW AVE,STATEN ISLAND,NY,103053409,7186672300,00-09
351571543062,ALBANY MEDICAL CENTER HOSPITAL,43 NEW SCOTLAND AVE,ALBANY,NY,122083462,5182628481,12-70
945717648431,URGENT & PRIMARY CARE PLLC,598 COLUMBIA TPKE,EAST GREENBUSH,NY,120611622,5184795240,12-70
382135208471,CAPITAL DISTRICT PSYCH CENTER,75 NEW SCOTLAND AVE,ALBANY,NY,122083474,5184479611,00-09
509228372527,TERESIAN HOUSE NURSING HOME CO INC,200 WASHINGTON AVE EXT,ALBANY,NY,122035335,5184562000,00-18
406603572320,MERCY HOSPITAL OF BUFFALO,565 ABBOTT RD,BUFFALO,NY,142202039,7168267000,00-09
449486238910,WNY COMMUNITY HEALTH CENTERS INC,135 GRANT STREET,LACKAWANNA,NY,142181504,7168814300,12-70
991677904818,ELLICOTT CENTER FOR REHABILITATION AND NURSING,200 SEVENTH STREET,BUFFALO,NY,142012161,7168472500,00-18
138974242302,MERCY HOSPITAL OF BUFFALO,565 ABBOTT RD,BUFFALO,NY,142202039,7168267000,00-18
127938474950,KHOURY MEDICAL CARE PC,670 92ND ST,BROOKLYN,NY,112355802,7188338777,12-70
393259191581,MAIMONIDES MEDICAL CENTER,4802 10TH AVE,BROOKLYN,NY,112302651,7182838958,00-09
469748200951,HAYM SOLOMON HOME FOR THE AGED,2340 CROPSEY AVENUE,BROOKLYN,NY,112145706,7183731700,00-18
541487326284,SYRACUSE COMMUNITY HEALTH CENTER EAST,1938 EAST FAYETTE ST,SYRACUSE,NY,132101339,3154767921,00-04
946016409323,ST JOSEPHS HOSPITAL HEALTH CENTER,301 PROSPECT AVE,SYRACUSE,NY,132043201,3154485880,00-09
969597620094,HOSPICE OF CENTRAL NEW YORK,990 SEVENTH NORTH STREET,LIVERPOOL,NY,130883148,3156341100,00-08
701451392789,FIVE STAR URGENT CARE BIG FLATS MEDICAL PLLC,830 COUNTY ROAD 64,SYRACUSE,NY,132192008,6078462030,12-70
498728895335,UP TO DATE MEDICAL HEALTHCARE PLLC,2747 CRESCENT ST STE 104,ASTORIA,NY,111023142,7182047550,12-70
959260217550,NEW YORK GRACIE SQUARE HOSPITAL INC,420 E 76TH ST,NEW YORK,NY,100213396,2124345300,00-09
491762485572,COLER REHABILITATION AND NURSING CARE CENTER,900 MAIN ST,ROOSEVELT ISLAND,NY,100440066,2128486000,00-18
433693698535,CORNERSTONE FAMILY HEALTHCARE,35 FELTERS RD,BINGHAMTON,NY,139032600,6072011200,00-04
878003651922,GREATER BINGHAMTON HEALTH CENTER,425 ROBINSON ST,BINGHAMTON,NY,139041735,6077241391,00-09
592707334824,NEW YORK EYE & EAR INFIRMARY,310 EAST 14TH STREET,NEW YORK,NY,100105615,2129794000,00-09
691059965654,THE INSTITUTE FOR FAMILY HEALTH,269 E 4TH ST,NEW YORK,NY,100097525,2122065200,00-04
299489426425,NEW GOUVERNEUR HOSPITAL S N F,227 MADISON STREET,NEW YORK,NY,100027537,2124415023,00-18
127760462886,NEW EAST SIDE NURSING HOME LLC,25 BIALYSTOKER PL,NEW YORK,NY,100024008,2126738500,00-18
375119974153,THE INSTITUTE FOR FAMILY HEALTH,340 W 85TH ST,NEW YORK,NY,10024,2122065200,00-04
932150341553,ST. LUKES ROOSEVELT HOSPITAL CENTER,1000 10TH AVE,NEW YORK,NY,10031,2125234000,00-09
162509341994,THE RIVERSIDE,150 RIVERSIDE DRIVE,NEW YORK,NY,100242298,6465053500,00-18
106702383350,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,101285604,2122417981,00-09
228255742865,CARTHAGE AREA HOSPITAL  INC,20414 SUNSET AVENUE,LA FARGEVILLE,NY,136562222,3154931000,00-17
151397333261,RIVER HOSPITAL INC,4 FULLER ST,ALEXANDRIA BAY,NY,136071316,3154822511,00-85
193441959590,RIVER HOSPITAL INC,4 FULLER ST,ALEXANDRIA BAY,NY,136071316,3154821132,00-85
931292134154,WATERTOWN URGENT CARE PLLC,457 GAFFNEY DR,WATERTOWN,NY,136011834,3157792273,12-70
301449496216,VALLEY VIEW FAMILY PRACTICE ASSOCIATES  LLP,213 STATE ROUTE 245,STANLEY,NY,145619580,5855543119,12-70
406622231740,CLIFTON SPRINGS SANITARIUM CO,2 COULTER RD,CLIFTON SPRINGS,NY,144321122,3154621305,00-09
