Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
17260c93-fcaf-3ccf-815b-0ddb786f5f6d,HOLLYWOOD CROSS MEDICAL CLINIC,1110 N WESTERN AVE,LOS ANGELES,CA,900291087,34.0536909,-118.242766,3234636881,0.0,432
1dd0d14f-2ee5-33f6-a814-9ecc2a14998e,ROYAL HOME CARE INC,870 HAMPSHIRE RD STE P,WESTLAKE VILLAGE,CA,913616041,34.15478506398215,-118.83157757806522,8052303033,0.0,9
c69ad947-f41f-30a3-ad96-3ca014ba7e42,ENCINO PROCARE MEDICAL CENTER PC,5535 BALBOA BLVD STE 104,ENCINO,CA,913161522,34.1715310781971,-118.50091370717297,8189222140,0.0,30
281b06af-1634-3402-aff7-fb15b28aa9b3,NEWBURY PARK URGENT CARE CENTER LTD,2080 NEWBURY RD,NEWBURY PARK,CA,91320,34.1832643283084,-118.9245233941602,8054990308,0.0,32
5d0ef748-1894-3819-a370-79b03a89ade2,PRESTIGE MEDICAL CLINIC AND URGENT CARE INC,1532 SAN BERNARDINO AVE STE A2,POMONA,CA,917673559,34.075793,-117.720272,9099570131,0.0,2
a0c63140-c437-3c5e-93dd-cbdfaf7eb93d,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,2540 EAST ST,CONCORD,CA,945202267,37.9835342,-122.03326853469336,9256828200,0.0,36
42186452-c1e6-326b-a098-2838d74aa29a,GOLDEN VALLEY HEALTH CENTER,250 NORTHGATE DR,MANTECA,CA,953363161,37.81897818945475,-121.21992904337117,2093817120,0.0,48
a2acc2d6-25c5-330d-8d81-118480281b9c,PRIME HEALTHCARE SERVICES - ST FRANCIS LLC,3630 E IMPERIAL HWY,SOUTH GATE,CA,902806237,33.9305079,-118.174463,3109008900,0.0,77
4e92862a-6d26-32c3-af75-58b5900cdbeb,VALLEY VIEW CARE CENTER LLC,729 BROWNING RD,DELANO,CA,932159747,35.7671022,-119.22375367814135,6617252501,0.0,2
6edb67bf-257d-34d3-ad3a-5a060d16195d,ARBOR GLEN CARE CENTER,1033 E. ARROW HIGHWAY,GLENDORA,CA,917406110,34.1361187,-117.865339,6269637531,0.0,3
91d90097-2da8-364b-8e1d-15efad06051f,LOMA LINDA UNIVERSITY BEHAVIORAL MED CTR,1710 BARTON ROAD,REDLANDS,CA,923735304,34.04917815,-117.21406627495367,9095589200,0.0,33
8806462c-4c2a-32ad-b873-5fe577aa8338,SEAL BEACH HEALTH AND REHABILITATION CENTER,3000 N GATE ROAD,SEAL BEACH,CA,907402535,33.77321795,-118.07813602083837,5625982477,0.0,7
868aba65-f6a0-3577-8170-f1616f72769a,CAMARILLO SENIOR LIVING,6000 SANTA ROSA ROAD,CAMARILLO,CA,930127101,34.226974,-118.986588,8053888086,0.0,5
ad1a4d2b-b32c-3558-851d-15a0eb97cd1c,SOLANO COUNTY HEALTH AND SOCIAL SERVICES,1119 EAST MONTE VISTA AVENUE,VACAVILLE,CA,956883009,38.36079005,-121.97670764718225,7077848584,0.0,3
c63030a8-50de-3b32-9559-f24fa51a0005,MERCY SAN JUAN MEDICAL CENTER,6501 COYLE AVE,SACRAMENTO,CA,958212122,38.66952005,-121.31317653001221,9165375000,0.0,221
d0aa35ea-1e0f-3005-98aa-fb7d243ca286,ELICA HEALTH CENTERS,4815 WATT AVE,NORTH HIGHLANDS,CA,956605108,38.6710975,-121.38795381804641,9164542345,0.0,31
6e9a512c-2016-36d1-80fd-f7783bd0f85c,ADVANCED HOME CARE INC,1000 QUAIL  NO 130,FONTANA,CA,923377584,34.1189092,-117.4923728,7148331680,0.0,9
306a11fe-5d06-3576-ab68-659aed6ff09d,HOSPICE PARTNERS  INC.,277 SOUTH ST,SANTA MARIA,CA,934548806,34.95125975510204,-120.42860075510204,8057828608,0.0,3
9ad66a31-c8f5-34e3-aab4-153dd6c7d029,VACAVILLE HEALTHCARE INC,585 NUT TREE CT,VACAVILLE,CA,956873353,38.36185117075607,-121.94841636231169,7074498000,0.0,1
68242536-a8a0-3387-9883-c3d4ee01a92f,GLENDALE HOME HEALTH  INC.,1053 COLORADO BLVD STE H,LOS ANGELES,CA,900412573,34.13777546640215,-118.18862824475214,8185998161,0.0,6
dab5e3e2-ec40-3713-97b5-6d23635e9372,REDDY URGENT CARE INC,123 ATLANTIC AVE,LOS ALAMITOS,CA,907203562,33.8038865,-118.0772433,5622091569,0.0,5
cc6760f7-06d8-3152-ab5e-755c7cdf601c,PREMIER SURGERY CENTER OF SANTA MARIA,816 EAST ENOS DRIVE,SANTA MARIA,CA,934548205,34.934393535806414,-120.42278392789598,8053477813,0.0,84
299e2731-a4c8-3110-abf4-176a65b2fce1,JOHN F KENNEDY MEMORIAL HOSPITAL,47111 MONROE STREET,INDIO,CA,922016739,33.7061251,-116.23612764229054,7603476191,0.0,10
5d996db8-84df-37a6-b696-72f9a9366abc,MEDELITY HEALTHCARE  INC.,2888 LONG BEACH BLVD,RANCHO PALOS VERDES,CA,902755370,33.7483311,-118.3707683,5629819100,0.0,59
e2db0de7-6794-3a04-8338-b307bfb7b078,UNITED HEALTH CENTERS OF THE SAN JOAQU,476 EAST WASHINGTON AVENUE,EARLIMART,CA,932190000,35.884411346590205,-119.27135393451397,6618492781,0.0,95
